moviename,openingdate,sales,attendance,screen,playcount,country,country_label,director,genre,genre_label,actor,filmrank,filmrank_label,openingmonth
주피터 어센딩,2015-02-05,2687549879,309842,561,16454,abroad,1,309842,sf,7,3,PG 12,1,2
번 더 스테이지: 더 무비,2018-11-15,2671391900,315010,243,4714,domestic,0,260925,etc,1,3,G_rated,2,11
트루스 오어 데어,2018-05-22,2647330400,310956,530,17066,abroad,1,310956,fear,12,3,PG 15,0,5
위자: 저주의 시작,2016-11-09,2637517406,331877,467,15660,abroad,1,331877,fear,12,3,PG 12,1,11
아담스 패밀리,2019-11-07,2636891140,329955,802,11242,abroad,1,329955,animation,6,3,G_rated,2,11
가디언의 전설,2010-10-28,2613934200,302318,267,14421,abroad,1,1631960,animation,6,3,G_rated,2,10
블라인드 사이드,2010-04-15,2613051000,355516,129,12717,abroad,1,355516,drama,4,1,PG 12,1,4
예스터데이,2019-09-18,2580213100,306332,816,23340,abroad,1,306332,drama,4,2,PG 12,1,9
아기배달부 스토크,2016-12-07,2436955700,322354,538,9388,abroad,1,322354,animation,6,3,G_rated,2,12
숲속으로,2014-12-24,2409562888,317406,356,7709,abroad,1,1223870,fantasy,3,3,G_rated,2,12
파이널 데스티네이션5,2011-09-08,2370348500,257193,168,9325,abroad,1,1167945,fear,12,3,X_rated,3,9
해리포터와 마법사의 돌,2001-12-13,2349913000,267950,33,3929,abroad,1,932025,fantasy,3,3,G_rated,2,12
모털 엔진,2018-12-05,2324362119,267896,661,15454,abroad,1,267896,action,2,3,PG 12,1,12
런 올 나이트,2015-03-19,2293671495,289534,411,15865,abroad,1,287798,action,2,3,X_rated,3,3
악질경찰,2019-03-20,2256615278,262233,833,22785,domestic,0,2347992,drama,4,3,X_rated,3,3
비행기 2: 소방구조대,2014-08-13,2246970700,311456,341,6562,abroad,1,311456,animation,6,3,G_rated,2,8
구스범스,2016-01-14,2221639712,297356,515,13477,abroad,1,297356,fantasy,3,3,PG 12,1,1
로렉스,2012-05-03,2153198000,298780,463,7843,abroad,1,1311466,animation,6,3,G_rated,2,5
내가 죽던 날,2020-11-12,2135396020,233112,909,29390,domestic,0,233112,drama,4,3,PG 12,1,11
주먹왕 랄프,2012-12-19,2116917500,301436,286,7086,abroad,1,1027905,animation,6,3,G_rated,2,12
투모로우랜드,2015-05-27,2083283000,265810,435,14640,abroad,1,1944199,adventure,8,3,PG 12,1,5
뮬란,2020-09-17,2079737620,236247,1420,38703,abroad,1,236247,adventure,8,1,PG 12,1,9
울프맨,2010-02-11,2062933500,265409,263,13920,abroad,1,389859,fear,12,3,X_rated,3,2
라스트 크리스마스,2019-12-05,2058391130,249323,623,14580,abroad,1,249323,romance,10,2,PG 12,1,12
위대한 쇼맨,2017-12-20,1897251570,306419,598,31915,abroad,1,306419,drama,4,3,PG 12,1,12
장고:분노의 추적자,2013-03-21,1883634000,260144,342,11792,abroad,1,268731,drama,4,3,X_rated,3,3
메리 포핀스 리턴즈,2019-02-14,1816281960,224160,573,11128,abroad,1,1223870,fantasy,3,3,G_rated,2,2
사랑은 너무 복잡해,2010-03-11,1741752000,234083,180,12117,abroad,1,1922323,comedy,0,6,X_rated,3,3
조제,2020-12-10,1673427570,186647,1179,38291,domestic,0,186647,animation,6,2,PG 12,1,12
포드 V 페라리,2019-12-04,1474949540,162730,204,6867,abroad,1,619031,action,2,2,PG 12,1,12
인셉션,2010-07-21,1380782440,163630,241,11000,abroad,1,3583005,action,2,3,PG 12,1,7
알라딘,2019-05-23,1205410680,171494,549,15752,abroad,1,512169,adventure,8,3,G_rated,2,5
트롤: 월드 투어,2020-04-29,1170580320,152589,344,15459,abroad,1,152589,animation,6,2,G_rated,2,4
조조 래빗,2020-02-05,965388200,112136,277,9147,abroad,1,2482957,comedy,0,3,PG 12,1,2
언더워터,2020-05-27,937112800,109207,594,18257,abroad,1,246998,thriller,11,3,PG 15,0,5
뉴 뮤턴트,2020-09-10,546115880,61897,817,15048,abroad,1,405521,action,2,3,PG 15,0,9
해리포터와 아즈카반의 죄수,2004-07-16,529704500,58349,47,3414,abroad,1,1626521,fantasy,3,3,G_rated,2,7
나의 첫 번째 슈퍼스타,2020-06-10,474367360,53748,462,8832,abroad,1,53748,comedy,0,2,PG 12,1,6
프리키 데스데이,2020-11-25,451225690,51812,631,12882,abroad,1,232331,comedy,0,2,PG 15,0,11
다크 나이트,2008-08-06,407193640,51681,378,4445,abroad,1,3583005,action,2,3,PG 15,0,8
