moviename,openingdate,attendance,screen,playcount,director,actor,openingmonth,country_abroad,country_domestic,distributor_etc_distributor,distributor_major_abroad,distributor_major_domestic,genre_action,genre_adventure,genre_animation,genre_comedy,genre_crime,genre_drama,genre_etc,genre_fantasy,genre_fear,genre_mystery,genre_romance,genre_sf,genre_thriller,filmrank_G_rated,filmrank_PG 12,filmrank_PG 15,filmrank_X_rated,sales
터미네이터 제니시스,2015-07-02,3240370,1113,77590,3140129,3,7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26556715129
분노의 질주: 더 세븐,2015-04-01,3247955,983,93612,1825151,3,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26454098694
전우치,2009-12-23,3611472,556,73175,3611472,3,12,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,26345113000
부러진 화살,2012-01-18,3451025,530,71560,2087528,3,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,25878629500
아이 캔 스피크,2017-09-21,3279296,1140,93012,2137558,2,9,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,25526451186
이끼,2010-07-14,3350303,740,58198,1989220,4,7,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,25437300500
서치,2018-08-29,2949944,1097,95758,2949944,3,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,25283364845
나우 유 씨 미 2,2016-07-13,3100113,1200,56981,1875958,3,7,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,25116690113
캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,3049894,1357,85225,1964124,3,5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24975495122
가장 보통의 연애,2019-10-02,2924563,1073,111527,2924563,2,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,24885803430
인크레더블 2,2018-07-18,3033052,1605,70934,1944199,3,7,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24554683588
덩케르크,2017-07-20,2788732,1252,65906,3583005,3,7,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24550541348
