moviename,openingdate,sales,attendance,screen,playcount,distributor,distributor_label,director,genre,genre_label,actor,filmrank,filmrank_label,openingmonth
라이트 아웃,2016-08-24,8893059975,1111284,659,34444,major_abroad,1,1234282,fear,12,3,PG 15,0,8
더 넌,2018-09-19,8777844795,1011580,824,32736,major_abroad,1,1011580,fear,12,3,PG 15,0,9
쥬만지: 넥스트 레벨,2019-12-11,8774663410,1054963,1195,42083,etc_distributor,2,1381817,action,2,3,PG 12,1,12
메가마인드,2011-01-13,8688842000,875631,414,22905,major_domestic,0,1663938,animation,6,3,G_rated,2,1
스카이스크래퍼,2018-07-11,8612111718,1002858,831,40862,major_abroad,1,742455,action,2,2,PG 12,1,7
프로메테우스,2012-06-06,8600146099,971482,521,31629,etc_distributor,2,1263301,sf,7,3,X_rated,3,6
스타워즈: 라스트 제다이,2017-12-14,8535886061,946547,1107,30914,major_abroad,1,555288,action,2,3,PG 12,1,12
마이펫의 이중생활 2,2019-07-31,8512902825,1114949,933,30858,major_abroad,1,1311466,animation,6,3,G_rated,2,7
지오스톰,2017-10-19,8480864614,1028384,854,35453,major_abroad,1,1028384,action,2,3,PG 12,1,10
맨 인 더 다크,2016-10-05,8480368672,1003406,671,40136,major_abroad,1,1003406,crime,5,3,X_rated,3,10
웜 바디스,2013-03-14,8361708124,1169839,477,37960,major_domestic,0,1169839,comedy,0,3,PG 15,0,3
존 윅 3: 파라벨룸,2019-06-26,8205015858,1004365,849,29819,etc_distributor,2,1004365,action,2,1,X_rated,3,6
씽,2016-12-21,8203857789,1063175,795,19645,major_abroad,1,1063175,animation,6,3,G_rated,2,12
박물관이 살아있다 : 비밀의 무덤,2015-01-14,8170784606,1101678,500,30146,etc_distributor,2,2340672,adventure,8,3,G_rated,2,1
가디언즈,2012-11-29,8083010500,1056250,470,21045,major_domestic,0,1701053,action,2,3,PG 12,1,11
몬스터 호텔 3,2018-08-08,7934082800,1072220,715,21247,etc_distributor,2,973291,animation,6,2,G_rated,2,8
1917,2020-02-19,7924722960,877017,932,91511,etc_distributor,2,1691307,drama,4,2,PG 15,0,2
헝거게임: 캣칭 파이어,2013-11-21,7850816000,1125739,630,33686,major_domestic,0,928878,fantasy,3,3,PG 15,0,11
더 울버린,2013-07-25,7849518000,1075333,707,26905,etc_distributor,2,619031,sf,7,1,PG 15,0,7
셜록 홈즈,2009-12-23,7787961500,1052059,359,25768,major_abroad,1,1052059,crime,5,2,PG 12,1,12
개구쟁이 스머프,2011-08-11,7722519000,1027436,399,18225,etc_distributor,2,974612,animation,6,3,G_rated,2,8
미 비포 유,2016-06-01,7663772990,945172,481,28458,major_abroad,1,945172,romance,10,2,PG 12,1,6
마루 밑 아리에티,2010-09-09,7649985500,1065967,337,29804,major_domestic,0,800649,animation,6,3,G_rated,2,9
엑스맨: 다크 피닉스,2019-06-05,7649216640,862744,991,29386,etc_distributor,2,862744,action,2,3,PG 12,1,6
매그니피센트 7,2016-09-14,7633490421,921317,579,27648,major_abroad,1,921317,action,2,3,PG 15,0,9
갓 오브 이집트,2016-03-03,7621291624,919834,618,35323,etc_distributor,2,919834,adventure,8,3,PG 12,1,3
타이탄의 분노,2012-03-29,7591124500,893027,535,33580,major_abroad,1,1100450,action,2,3,PG 12,1,3
월요일이 사라졌다,2018-02-22,7489885100,903175,381,24247,etc_distributor,2,586342,action,2,3,PG 15,0,2
맨 인 블랙: 인터내셔널,2019-06-12,7464209570,851917,1151,40520,major_domestic,0,2252577,action,2,2,PG 12,1,6
본 레거시,2012-09-06,7412233000,1015711,585,31628,major_abroad,1,1015711,action,2,3,PG 15,0,9
셔터 아일랜드,2010-03-18,7407854500,990223,272,29043,major_domestic,0,787652,drama,4,2,PG 15,0,3
잭 더 자이언트 킬러,2013-02-28,7376481000,956154,507,27115,major_abroad,1,2233161,adventure,8,3,PG 12,1,2
스텝 업 3D,2010-08-05,7345439000,671845,250,14805,etc_distributor,2,1875958,drama,4,3,PG 12,1,8
그것,2017-09-06,7335022607,888836,837,35430,major_abroad,1,2154087,comedy,0,3,PG 12,1,9
로보캅,2014-02-13,7299641958,979509,627,29686,major_abroad,1,979509,action,2,3,PG 12,1,2
