영화명,개봉일,매출액,관객수,스크린수,상영횟수,국적,배급사
트랜스포머: 최후의 기사,2017.6.21,21501959228.0,"2,614,601","1,739","87,234",미국,롯데쇼핑㈜롯데엔터테인먼트
메이즈 러너,2014.9.18,21489367677.0,"2,812,427",655,"71,048",미국,이십세기폭스코리아(주)
곤지암,2018.3.28,21442194144.0,"2,675,575","1,124","88,477",한국,(주)쇼박스
살인자의 기억법,2017.9.6,21375287492.0,"2,658,589","1,064","88,686",한국,(주)쇼박스
솔트,2010.7.29,21360288000.0,"2,869,938",556,"53,679",미국,한국소니픽쳐스릴리징브에나비스타영화㈜
제이슨 본,2016.7.27,21253434663.0,"2,611,966",827,"39,806",미국,유니버설픽쳐스인터내셔널 코리아(유)
26년,2012.11.29,21111878145.0,"2,940,475",611,"50,044",한국,"(주)인벤트스톤,영화사청어람(주)"
부당거래,2010.10.28,20996302500.0,"2,722,996",502,"69,703",한국,CJ ENM
블랙머니,2019.11.13,20863134010.0,"2,478,964","1,141","77,469",한국,(주)에이스메이커무비웍스
보안관,2017.5.3,20844488409.0,"2,588,628","1,091","63,709",한국,롯데쇼핑㈜롯데엔터테인먼트
신비한 동물들과 그린델왈드의 범죄,2018.11.14,20816583118.0,"2,414,062","1,601","76,846",미국,워너브러더스 코리아(주)
지금 만나러 갑니다,2018.3.14,20800916128.0,"2,602,273","1,191","97,482",한국,롯데쇼핑㈜롯데엔터테인먼트
도리를 찾아서,2016.7.6,20703899933.0,"2,601,734","1,091","55,110",미국,월트디즈니컴퍼니코리아(주)
혹성탈출: 진화의 시작,2011.8.17,20629757000.0,"2,773,794",514,"61,229",미국,이십세기폭스코리아(주)
히트맨,2020.1.22,20614278000.0,"2,406,232","1,122","87,782",한국,롯데컬처웍스(주)롯데엔터테인먼트
아수라,2016.9.28,20576226662.0,"2,594,028","1,278","68,040",한국,(주)씨제이이엔엠
증인,2019.2.13,20482789331.0,"2,534,748","1,047","89,564",한국,롯데컬처웍스(주)롯데엔터테인먼트
퍼시픽 림,2013.7.11,20477374512.0,"2,539,113","1,005","55,655",미국,워너브러더스 코리아(주)
탐정 : 더 비기닝,2015.9.24,20463956973.0,"2,625,686",764,"54,995",한국,(주)씨제이이엔엠
내가 살인범이다,2012.11.8,20392266000.0,"2,729,798",547,"58,409",한국,(주)쇼박스
이상한 나라의 앨리스,2010.3.4,20334399500.0,"2,147,012",397,"58,393",미국,한국소니픽쳐스릴리징브에나비스타영화㈜
오싹한 연애,2011.12.1,20289813500.0,"2,777,998",544,"54,630",한국,(주)씨제이이엔엠
터미네이터: 다크 페이트,2019.10.30,20153895830.0,"2,409,062","1,315","81,336",미국,월트디즈니컴퍼니코리아 유한책임회사
조작된 도시,2017.2.9,20143992587.0,"2,515,501","1,019","62,241",한국,(주)씨제이이엔엠
사바하,2019.2.20,20007508194.0,"2,398,519","1,174","78,096",한국,(주)씨제이이엔엠
레디 플레이어 원,2018.3.28,19933108071.0,"2,254,430","1,079","77,173",미국,워너브러더스 코리아(주)
시라노; 연애조작단,2010.9.16,19838369000.0,"2,684,783",415,"77,736",한국,롯데쇼핑㈜롯데엔터테인먼트
조선명탐정: 흡혈괴마의 비밀,2018.2.8,19822789764.0,"2,444,136","1,249","74,953",한국,(주)쇼박스
타짜: 원 아이드 잭,2019.9.11,19687029214.0,"2,229,239","1,429","66,479",한국,롯데컬처웍스(주)롯데엔터테인먼트
레미제라블,2012.12.19,19635813500.0,"2,707,479",592,"49,348",미국,유니버설픽쳐스인터내셔널 코리아(유)
맘마미아!2,2018.8.8,19607520003.0,"2,293,884",750,"59,060",미국,유니버설픽쳐스인터내셔널 코리아(유)
미션임파서블:고스트프로토콜,2011.12.15,19536876000.0,"2,533,735",697,"53,514",미국,(주)씨제이이엔엠
마이펫의 이중생활,2016.8.3,19406436655.0,"2,520,670",726,"39,653",미국,유니버설픽쳐스인터내셔널 코리아(유)
7광구,2011.8.4,19391653500.0,"2,242,510",812,"47,346",한국,(주)씨제이이엔엠
후궁 : 제왕의 첩,2012.6.6,19330302500.0,"2,636,320",624,"69,104",한국,롯데쇼핑㈜롯데엔터테인먼트
재심,2017.2.15,19266319637.0,"2,421,197",935,"68,402",한국,"오퍼스픽쳐스(유),CGV아트하우스"
위험한 상견례,2011.3.31,19174920500.0,"2,595,625",524,"75,068",한국,롯데쇼핑㈜롯데엔터테인먼트
나우 유 씨 미 : 마술사기단,2013.8.22,19146691869.0,"2,718,227",691,"54,658",미국,롯데쇼핑㈜롯데엔터테인먼트
엑스맨: 퍼스트 클래스,2011.6.2,19075363000.0,"2,533,852",587,"56,827",미국,이십세기폭스코리아(주)
미니언즈,2015.7.29,18998046278.0,"2,625,599",792,"41,946",미국,유니버설픽쳐스인터내셔널 코리아(유)
보스 베이비,2017.5.3,18936306704.0,"2,452,245","1,116","48,379",미국,(주)씨제이이엔엠
브레이킹 던 part2,2012.11.15,18909583065.0,"2,654,817",665,"56,995",미국,(주)넥스트엔터테인먼트월드(NEW)
배트맨 대 슈퍼맨: 저스티스의 시작,2016.3.24,18906246428.0,"2,256,913","1,709","95,669",미국,워너브러더스 코리아(주)
메이즈 러너: 데스 큐어,2018.1.17,18902873104.0,"2,299,732","1,090","58,918",미국,이십세기폭스코리아(주)
알리타: 배틀 엔젤,2019.2.5,18571455667.0,"1,952,063","1,043","52,666",미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
소원,2013.10.2,18529862600.0,"2,711,083",651,"72,329",한국,롯데쇼핑㈜롯데엔터테인먼트
