영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,배급사
삼총사 3D,2011.10.12,"5,731,619,500","660,172",510,"29,377",독일,롯데쇼핑㈜롯데엔터테인먼트
아이 엠 넘버 포,2011.2.24,"4,955,215,500","654,386",284,"22,145",미국,한국소니픽쳐스릴리징브에나비스타영화㈜
리오,2011.7.27,"5,021,719,500","645,151",333,"13,781",미국,이십세기폭스코리아(주)
명탐정 코난 : 침묵의 15분,2011.8.3,"4,212,992,000","644,652",275,"12,017",일본,(주)미디어데이
머니볼,2011.11.17,"4,677,562,000","641,099",385,"21,961",미국,한국소니픽쳐스릴리징브에나비스타영화㈜
아더 크리스마스,2011.11.25,"4,771,040,500","620,995",356,"14,606",미국,한국소니픽쳐스릴리징브에나비스타영화㈜
인 타임,2011.10.27,"4,579,554,500","616,943",304,"21,836",미국,이십세기폭스코리아(주)
콜롬비아나,2011.8.31,"4,514,882,000","598,365",397,"25,622",미국,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트"
너는 펫,2011.11.10,"3,810,103,000","543,313",341,"24,395",한국,롯데쇼핑㈜롯데엔터테인먼트
챔프,2011.9.7,"3,850,214,500","534,752",301,"19,668",한국,(주)쇼박스
러브 & 드럭스,2011.1.13,"4,125,733,000","527,077",284,"14,250",미국,이십세기폭스코리아(주)
언노운,2011.2.17,"3,953,681,000","522,794",186,"14,849",미국,워너브러더스 코리아(주)
퍼스트 어벤져,2011.7.28,"4,161,976,500","514,309",362,"13,941",미국,(주)씨제이이엔엠
앨빈과 슈퍼밴드3,2011.12.15,"3,279,645,000","496,560",327,"9,584",미국,이십세기폭스코리아(주)
슈퍼 에이트,2011.6.16,"3,622,888,500","472,125",411,"21,883",미국,(주)씨제이이엔엠
카운트다운,2011.9.29,"3,630,557,000","471,547",341,"20,958",한국,"(주)싸이더스,(주)넥스트엔터테인먼트월드(NEW)"
카 2,2011.7.20,"3,681,072,000","465,599",379,"11,690",미국,한국소니픽쳐스릴리징브에나비스타영화㈜
생텀,2011.2.10,"4,828,519,000","465,039",323,"16,998",미국,(주)시너지하우스 (시너지)
세 얼간이,2011.8.18,"3,355,257,500","459,307",232,"13,197",인도,필라멘트픽쳐스
시즌 오브 더 위치: 마녀 호송단,2011.1.13,"3,277,434,500","435,201",220,"14,539",미국,(주)넥스트엔터테인먼트월드(NEW)
모비딕,2011.6.9,"3,264,596,000","430,936",377,"19,894",한국,(주)쇼박스
랭고,2011.3.3,"3,043,816,000","430,001",314,"15,179",미국,(주)씨제이이엔엠
티끌모아 로맨스,2011.11.10,"2,941,601,500","423,915",323,"19,288",한국,필라멘트픽쳐스
사랑이 무서워,2011.3.10,"3,020,062,500","402,876",290,"21,341",한국,롯데쇼핑㈜롯데엔터테인먼트
내 이름은 칸,2011.3.24,"2,821,380,000","381,334",227,"15,855",인도,필라멘트픽쳐스
컨트롤러,2011.3.3,"2,862,234,500","373,344",371,"18,872",미국,유니버설픽쳐스인터내셔널 코리아(유)
레드 라이딩 후드,2011.3.17,"2,728,562,500","362,572",249,"20,020",미국,워너브러더스 코리아(주)
커플즈,2011.11.2,"2,705,566,500","360,045",387,"19,564",한국,(주)싸이더스
짱구는 못말려 극장판 : 초시공! 태풍을 부르는 나의 신부,2011.5.5,"2,357,563,000","351,742",306,"7,013",일본,(주)씨제이이엔엠
링컨 차를 타는 변호사,2011.6.16,"2,443,603,500","327,612",241,"12,383",미국,씨너스엔터테인먼트(주)
세상에서 가장 아름다운 이별,2011.4.20,"2,296,840,000","316,990",340,"17,456",한국,(주)넥스트엔터테인먼트월드(NEW)
마이 블랙 미니드레스,2011.3.24,"2,318,884,500","313,953",325,"20,166",한국,(주)씨제이이엔엠
트론: 새로운 시작,2010.12.29,"3,382,216,700","306,012",371,"10,005",미국,한국소니픽쳐스릴리징브에나비스타영화㈜
상하이,2011.1.27,"2,039,939,000","269,157",223,"13,005",미국,(주)넥스트엔터테인먼트월드(NEW)
친구와 연인사이,2011.2.10,"2,099,697,500","267,843",183,"9,010",미국,CJ ENM
극장판 포켓몬스터 베스트 위시「비크티니와 백의 영웅 레시라무」,2011.12.22,"1,729,310,500","261,757",237,"3,524",일본,(주)씨제이이엔엠
파이널 데스티네이션5,2011.9.8,"2,370,348,500","257,193",168,"9,325",미국,워너브러더스 코리아(주)
카우보이 & 에이리언,2011.8.11,"1,930,249,000","256,346",269,"8,244",미국,(주)씨제이이엔엠
마마,2011.6.1,"1,642,407,500","243,209",269,"12,667",한국,롯데쇼핑㈜롯데엔터테인먼트
적과의 동침,2011.4.27,"1,740,340,000","243,094",391,"14,069",한국,(주)쇼박스
줄리아의 눈,2011.3.31,"1,827,252,000","236,365",232,"15,411",스페인,씨너스엔터테인먼트(주)
도둑들,2012.7.25,"93,664,808,500","12,983,178","1,091","155,392",한국,(주)쇼박스
"광해, 왕이 된 남자",2012.9.13,"88,899,448,769","12,319,390","1,001","203,400",한국,(주)씨제이이엔엠
어벤져스,2012.4.26,"59,557,853,478","7,074,867",967,"109,697",미국,"월트디즈니컴퍼니코리아 유한책임회사,한국소니픽쳐스릴리징브에나비스타영화㈜"
늑대소년,2012.10.31,"46,590,107,000","6,654,390",854,"109,069",한국,(주)씨제이이엔엠
다크 나이트 라이즈,2012.7.19,"47,644,838,000","6,396,528","1,210","81,254",미국,워너브러더스 코리아(주)
바람과 함께 사라지다,2012.8.8,"34,614,661,161","4,909,937",694,"78,591",한국,(주)넥스트엔터테인먼트월드(NEW)
어메이징 스파이더맨,2012.6.28,"41,163,951,235","4,853,123","1,118","92,755",미국,한국소니픽쳐스릴리징브에나비스타영화㈜
범죄와의 전쟁: 나쁜놈들 전성시대,2012.2.2,"36,538,823,500","4,719,872",713,"91,889",한국,(주)쇼박스
내 아내의 모든 것,2012.5.17,"34,223,620,500","4,598,821",563,"91,773",한국,(주)넥스트엔터테인먼트월드(NEW)
연가시,2012.7.5,"32,175,400,664","4,515,833",759,"71,928",한국,(주)씨제이이엔엠
건축학개론,2012.3.22,"30,222,696,000","4,111,068",593,"106,067",한국,롯데쇼핑㈜롯데엔터테인먼트
댄싱퀸,2012.1.18,"30,130,775,500","4,058,225",544,"80,987",한국,(주)씨제이이엔엠
부러진 화살,2012.1.18,"25,878,629,500","3,451,025",530,"71,560",한국,(주)넥스트엔터테인먼트월드(NEW)
맨 인 블랙 3,2012.5.24,"27,301,520,070","3,379,762",770,"69,538",미국,한국소니픽쳐스릴리징브에나비스타영화㈜
레미제라블,2012.12.19,"23,428,605,500","3,210,107",696,"33,153",미국,유니버설픽쳐스인터내셔널 코리아(유)
26년,2012.11.29,"21,111,878,145","2,940,475",611,"50,044",한국,"(주)인벤트스톤,영화사청어람(주)"
내가 살인범이다,2012.11.8,"20,392,266,000","2,729,798",547,"58,409",한국,(주)쇼박스
브레이킹 던 part2,2012.11.15,"18,909,583,065","2,654,817",665,"56,995",미국,(주)넥스트엔터테인먼트월드(NEW)
후궁 : 제왕의 첩,2012.6.6,"19,330,302,500","2,636,320",624,"69,104",한국,롯데쇼핑㈜롯데엔터테인먼트
호빗: 뜻밖의 여정,2012.12.13,"21,724,069,066","2,605,124","1,028","44,977",미국,워너브러더스 코리아(주)
화차,2012.3.8,"18,459,428,000","2,436,438",548,"62,643",한국,필라멘트픽쳐스
이웃사람,2012.8.22,"18,088,462,369","2,434,269",600,"56,752",한국,롯데쇼핑㈜롯데엔터테인먼트
007 스카이폴,2012.10.26,"17,487,213,000","2,376,145",748,"51,357",미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
테이큰 2,2012.9.27,"17,581,098,553","2,308,596",682,"51,344",프랑스,이십세기폭스코리아(주)
배틀쉽,2012.4.11,"16,545,921,500","2,241,687",736,"53,109",미국,유니버설픽쳐스인터내셔널 코리아(유)
장화신은 고양이,2012.1.12,"17,602,643,500","2,080,445",593,"45,451",미국,(주)씨제이이엔엠
타워,2012.12.25,"14,658,256,500","2,014,589",617,"22,278",한국,(주)씨제이이엔엠
코리아,2012.5.3,"13,448,848,500","1,872,681",537,"49,679",한국,(주)씨제이이엔엠
나의 PS 파트너,2012.12.6,"13,548,606,616","1,786,831",552,"37,625",한국,(주)씨제이이엔엠
반창꼬,2012.12.19,"12,459,852,719","1,730,535",466,"26,039",한국,(주)넥스트엔터테인먼트월드(NEW)
러브픽션,2012.2.29,"13,200,412,500","1,726,202",617,"44,130",한국,(주)넥스트엔터테인먼트월드(NEW)
언터처블: 1%의 우정,2012.3.22,"12,735,040,000","1,720,472",454,"48,976",프랑스,(주)넥스트엔터테인먼트월드(NEW)
아이스 에이지 4: 대륙 이동설,2012.7.25,"12,291,969,704","1,648,110",501,"26,899",미국,이십세기폭스코리아(주)
공모자들,2012.8.29,"12,240,964,500","1,646,142",496,"44,959",한국,"씨너스엔터테인먼트(주),타임스토리그룹(주)"
마다가스카3 : 이번엔 서커스다!,2012.6.6,"12,521,043,500","1,629,799",564,"34,150",미국,(주)씨제이이엔엠
하울링,2012.2.16,"11,765,293,500","1,612,554",550,"44,753",한국,(주)씨제이이엔엠
용의자X,2012.10.18,"11,241,013,000","1,552,055",553,"42,989",한국,(주)씨제이이엔엠
새미의 어드벤쳐 2,2012.8.1,"10,856,204,000","1,457,380",486,"26,436",벨기에,(주)씨제이이엔엠
차형사,2012.5.30,"9,752,555,296","1,346,754",433,"39,152",한국,(주)씨제이이엔엠
은교,2012.4.25,"9,918,274,444","1,346,359",521,"41,683",한국,롯데쇼핑㈜롯데엔터테인먼트
간첩,2012.9.20,"9,316,548,500","1,310,895",576,"41,726",한국,롯데쇼핑㈜롯데엔터테인먼트
간기남,2012.4.11,"9,356,404,500","1,246,185",396,"38,155",한국,(주)쇼박스
